00 09:51:03:642 Fichero de log abierto PID 1280

02 09:51:03:643 Intentando abrir fichero v10.ini
02 09:51:03:648 Cargando driver v10oracle funcion damedriveroracle
02 09:51:04:422 Conectado a base de datos
02 09:51:04:422 Proceso ACTSTKORIGEN encontrado en tabla VDPROCESOS
02 09:51:04:423 Proceso ACTSTKORIGEN cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6FFB1560
02 09:51:04:425 Proceso ACTSTKDESTINO encontrado en tabla VDPROCESOS
02 09:51:04:425 Proceso ACTSTKDESTINO cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6FFB1560
02 09:51:04:425 Proceso ACTSTKORIGEN2 encontrado en tabla VDPROCESOS
02 09:51:04:426 Proceso ACTSTKORIGEN2 cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6FFB1560
02 09:51:04:428 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 17-03-2022
02 09:51:04:437 Actualizado SID 506 SERIAL 27072 del proceso con PID 1280
02 10:09:12:755 Ejecucion número 10001 del proceso ACTSTKORIGEN total 69993
02 10:09:12:755 Ejecucion número 10001 del proceso ACTSTKDESTINO total 69993
02 10:09:12:756 Ejecucion número 10001 del proceso ACTSTKORIGEN2 total 69993
02 10:27:21:677 Ejecucion número 20001 del proceso ACTSTKORIGEN total 139986
02 10:27:21:677 Ejecucion número 20001 del proceso ACTSTKDESTINO total 139986
02 10:27:21:678 Ejecucion número 20001 del proceso ACTSTKORIGEN2 total 139986
02 10:45:27:677 Ejecucion número 30001 del proceso ACTSTKORIGEN total 209978
02 10:45:27:677 Ejecucion número 30001 del proceso ACTSTKDESTINO total 209978
02 10:45:27:677 Ejecucion número 30001 del proceso ACTSTKORIGEN2 total 209978
02 11:07:14:186 Ejecucion número 40001 del proceso ACTSTKORIGEN total 279955
02 11:07:14:293 Ejecucion número 40001 del proceso ACTSTKDESTINO total 279962
02 11:07:14:293 Ejecucion número 40001 del proceso ACTSTKORIGEN2 total 279962
02 11:25:20:677 Ejecucion número 50001 del proceso ACTSTKORIGEN total 349947
02 11:25:20:783 Ejecucion número 50001 del proceso ACTSTKDESTINO total 349954
02 11:25:20:785 Ejecucion número 50001 del proceso ACTSTKORIGEN2 total 349954
02 11:43:24:837 Ejecucion número 60001 del proceso ACTSTKORIGEN total 419940
02 11:43:24:947 Ejecucion número 60001 del proceso ACTSTKDESTINO total 419947
02 11:43:24:949 Ejecucion número 60001 del proceso ACTSTKORIGEN2 total 419947
02 12:01:29:215 Ejecucion número 70001 del proceso ACTSTKORIGEN total 489934
02 12:01:29:325 Ejecucion número 70001 del proceso ACTSTKDESTINO total 489941
02 12:01:29:325 Ejecucion número 70001 del proceso ACTSTKORIGEN2 total 489941
02 12:19:33:360 Ejecucion número 80001 del proceso ACTSTKORIGEN total 559926
02 12:19:33:470 Ejecucion número 80001 del proceso ACTSTKDESTINO total 559933
02 12:19:33:470 Ejecucion número 80001 del proceso ACTSTKORIGEN2 total 559933
02 12:37:38:232 Ejecucion número 90001 del proceso ACTSTKORIGEN total 629916
02 12:37:38:340 Ejecucion número 90001 del proceso ACTSTKDESTINO total 629923
02 12:37:38:342 Ejecucion número 90001 del proceso ACTSTKORIGEN2 total 629923
02 12:55:43:162 Ejecucion número 100001 del proceso ACTSTKORIGEN total 699909
02 12:55:43:270 Ejecucion número 100001 del proceso ACTSTKDESTINO total 699916
02 12:55:43:270 Ejecucion número 100001 del proceso ACTSTKORIGEN2 total 699916
02 13:13:47:907 Ejecucion número 110001 del proceso ACTSTKORIGEN total 769900
02 13:13:48:015 Ejecucion número 110001 del proceso ACTSTKDESTINO total 769907
02 13:13:48:015 Ejecucion número 110001 del proceso ACTSTKORIGEN2 total 769907
02 13:31:52:360 Ejecucion número 120001 del proceso ACTSTKORIGEN total 839893
