00 09:11:28:677 Fichero de log abierto PID 5964

02 09:11:28:682 Intentando abrir fichero v10.ini
02 09:11:28:691 Cargando driver v10oracle funcion damedriveroracle
02 09:11:29:070 Conectado a base de datos
02 09:11:29:072 Proceso ACTSTKORIGEN encontrado en tabla VDPROCESOS
02 09:11:29:072 Proceso ACTSTKORIGEN cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6DB61560
02 09:11:29:072 Proceso ACTSTKDESTINO encontrado en tabla VDPROCESOS
02 09:11:29:072 Proceso ACTSTKDESTINO cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6DB61560
02 09:11:29:072 Proceso ACTSTKORIGEN2 encontrado en tabla VDPROCESOS
02 09:11:29:072 Proceso ACTSTKORIGEN2 cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6DB61560
02 09:11:29:074 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 08-04-2022
02 09:11:29:082 Actualizado SID 752 SERIAL 18473 del proceso con PID 5964
02 09:29:34:208 Ejecucion número 10001 del proceso ACTSTKORIGEN total 69992
02 09:29:34:208 Ejecucion número 10001 del proceso ACTSTKDESTINO total 69992
02 09:29:34:210 Ejecucion número 10001 del proceso ACTSTKORIGEN2 total 69992
02 09:47:39:977 Ejecucion número 20001 del proceso ACTSTKORIGEN total 139983
02 09:47:39:977 Ejecucion número 20001 del proceso ACTSTKDESTINO total 139983
02 09:47:39:977 Ejecucion número 20001 del proceso ACTSTKORIGEN2 total 139983
02 10:05:45:752 Ejecucion número 30001 del proceso ACTSTKORIGEN total 209965
02 10:05:45:753 Ejecucion número 30001 del proceso ACTSTKDESTINO total 209965
02 10:05:45:755 Ejecucion número 30001 del proceso ACTSTKORIGEN2 total 209965
02 10:23:51:331 Ejecucion número 40001 del proceso ACTSTKORIGEN total 279944
02 10:23:51:331 Ejecucion número 40001 del proceso ACTSTKDESTINO total 279944
02 10:23:51:331 Ejecucion número 40001 del proceso ACTSTKORIGEN2 total 279944
02 10:41:55:730 Ejecucion número 50001 del proceso ACTSTKORIGEN total 349930
02 10:41:55:732 Ejecucion número 50001 del proceso ACTSTKDESTINO total 349930
02 10:41:55:733 Ejecucion número 50001 del proceso ACTSTKORIGEN2 total 349930
02 11:00:01:028 Ejecucion número 60001 del proceso ACTSTKORIGEN total 419904
02 11:00:01:030 Ejecucion número 60001 del proceso ACTSTKDESTINO total 419904
02 11:00:01:031 Ejecucion número 60001 del proceso ACTSTKORIGEN2 total 419904
02 11:49:36:257 Ejecucion número 70001 del proceso ACTSTKORIGEN total 489887
02 11:49:36:257 Ejecucion número 70001 del proceso ACTSTKDESTINO total 489887
02 11:49:36:257 Ejecucion número 70001 del proceso ACTSTKORIGEN2 total 489887
02 12:07:43:854 Ejecucion número 80001 del proceso ACTSTKORIGEN total 559876
02 12:07:43:855 Ejecucion número 80001 del proceso ACTSTKDESTINO total 559876
02 12:07:43:855 Ejecucion número 80001 del proceso ACTSTKORIGEN2 total 559876
02 12:25:51:990 Ejecucion número 90001 del proceso ACTSTKORIGEN total 629854
02 12:25:51:990 Ejecucion número 90001 del proceso ACTSTKDESTINO total 629854
02 12:25:52:010 Ejecucion número 90001 del proceso ACTSTKORIGEN2 total 629855
02 12:43:59:812 Ejecucion número 100001 del proceso ACTSTKORIGEN total 699834
02 12:43:59:814 Ejecucion número 100001 del proceso ACTSTKDESTINO total 699834
02 12:43:59:814 Ejecucion número 100001 del proceso ACTSTKORIGEN2 total 699834
02 13:02:08:099 Ejecucion número 110001 del proceso ACTSTKORIGEN total 769795
02 13:02:08:099 Ejecucion número 110001 del proceso ACTSTKDESTINO total 769795
02 13:02:08:099 Ejecucion número 110001 del proceso ACTSTKORIGEN2 total 769795
02 13:20:16:627 Ejecucion número 120001 del proceso ACTSTKORIGEN total 839780
02 13:20:16:629 Ejecucion número 120001 del proceso ACTSTKDESTINO total 839780
02 13:20:16:629 Ejecucion número 120001 del proceso ACTSTKORIGEN2 total 839780
02 13:38:25:409 Ejecucion número 130001 del proceso ACTSTKORIGEN total 909765
02 13:38:25:410 Ejecucion número 130001 del proceso ACTSTKDESTINO total 909765
02 13:38:25:410 Ejecucion número 130001 del proceso ACTSTKORIGEN2 total 909765
02 13:56:34:815 Ejecucion número 140001 del proceso ACTSTKORIGEN total 979756
02 13:56:34:817 Ejecucion número 140001 del proceso ACTSTKDESTINO total 979756
02 13:56:34:817 Ejecucion número 140001 del proceso ACTSTKORIGEN2 total 979756

00 13:59:39:792 Fichero de log cerrado.

