00 09:13:58:280 Fichero de log abierto PID 15364

02 09:13:58:282 Intentando abrir fichero v10.ini
02 09:13:58:287 Cargando driver v10oracle funcion damedriveroracle
02 09:13:58:968 Conectado a base de datos
02 09:13:58:971 Proceso ACTSTKORIGEN encontrado en tabla VDPROCESOS
02 09:13:58:971 Proceso ACTSTKORIGEN cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6D431560
02 09:13:58:971 Proceso ACTSTKDESTINO encontrado en tabla VDPROCESOS
02 09:13:58:972 Proceso ACTSTKDESTINO cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6D431560
02 09:13:58:972 Proceso ACTSTKORIGEN2 encontrado en tabla VDPROCESOS
02 09:13:58:972 Proceso ACTSTKORIGEN2 cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6D431560
02 09:13:58:974 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 11-04-2022
02 09:13:58:982 Actualizado SID 745 SERIAL 63637 del proceso con PID 15364
02 09:32:06:751 Ejecucion número 10001 del proceso ACTSTKORIGEN total 69966
02 09:32:06:752 Ejecucion número 10001 del proceso ACTSTKDESTINO total 69966
02 09:32:06:752 Ejecucion número 10001 del proceso ACTSTKORIGEN2 total 69966
02 09:50:16:906 Ejecucion número 20001 del proceso ACTSTKORIGEN total 139946
02 09:50:16:906 Ejecucion número 20001 del proceso ACTSTKDESTINO total 139946
02 09:50:16:907 Ejecucion número 20001 del proceso ACTSTKORIGEN2 total 139946
02 10:08:23:387 Ejecucion número 30001 del proceso ACTSTKORIGEN total 209925
02 10:08:23:388 Ejecucion número 30001 del proceso ACTSTKDESTINO total 209925
02 10:08:23:390 Ejecucion número 30001 del proceso ACTSTKORIGEN2 total 209925
02 10:26:24:446 Ejecucion número 40001 del proceso ACTSTKORIGEN total 279896
02 10:26:24:446 Ejecucion número 40001 del proceso ACTSTKDESTINO total 279896
02 10:26:24:446 Ejecucion número 40001 del proceso ACTSTKORIGEN2 total 279896
02 10:44:33:455 Ejecucion número 50001 del proceso ACTSTKORIGEN total 349883
02 10:44:33:455 Ejecucion número 50001 del proceso ACTSTKDESTINO total 349883
02 10:44:33:456 Ejecucion número 50001 del proceso ACTSTKORIGEN2 total 349883
02 11:02:42:925 Ejecucion número 60001 del proceso ACTSTKORIGEN total 419830
02 11:02:42:926 Ejecucion número 60001 del proceso ACTSTKDESTINO total 419830
02 11:02:42:927 Ejecucion número 60001 del proceso ACTSTKORIGEN2 total 419830
