00 09:09:49:102 Fichero de log abierto PID 9520

02 09:09:49:115 Intentando abrir fichero v10.ini
02 09:09:49:122 Cargando driver v10oracle funcion damedriveroracle
02 09:09:49:997 Conectado a base de datos
02 09:09:50:001 Proceso ACTSTKORIGEN encontrado en tabla VDPROCESOS
02 09:09:50:002 Proceso ACTSTKORIGEN cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6E311560
02 09:09:50:002 Proceso ACTSTKDESTINO encontrado en tabla VDPROCESOS
02 09:09:50:002 Proceso ACTSTKDESTINO cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6E311560
02 09:09:50:002 Proceso ACTSTKORIGEN2 encontrado en tabla VDPROCESOS
02 09:09:50:002 Proceso ACTSTKORIGEN2 cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6E311560
02 09:09:50:005 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 12-04-2022
02 09:09:50:016 Actualizado SID 873 SERIAL 53940 del proceso con PID 9520
02 09:27:59:121 Ejecucion número 10001 del proceso ACTSTKORIGEN total 67606
02 09:27:59:121 Ejecucion número 10001 del proceso ACTSTKDESTINO total 67606
02 09:27:59:122 Ejecucion número 10001 del proceso ACTSTKORIGEN2 total 67606
02 09:46:04:343 Ejecucion número 20001 del proceso ACTSTKORIGEN total 137593
02 09:46:04:345 Ejecucion número 20001 del proceso ACTSTKDESTINO total 137593
02 09:46:04:346 Ejecucion número 20001 del proceso ACTSTKORIGEN2 total 137593
02 10:04:10:423 Ejecucion número 30001 del proceso ACTSTKORIGEN total 207577
02 10:04:10:425 Ejecucion número 30001 del proceso ACTSTKDESTINO total 207577
02 10:04:10:425 Ejecucion número 30001 del proceso ACTSTKORIGEN2 total 207577
02 10:22:18:372 Ejecucion número 40001 del proceso ACTSTKORIGEN total 277567
02 10:22:18:373 Ejecucion número 40001 del proceso ACTSTKDESTINO total 277567
02 10:22:18:373 Ejecucion número 40001 del proceso ACTSTKORIGEN2 total 277567
02 10:40:26:502 Ejecucion número 50001 del proceso ACTSTKORIGEN total 347548
02 10:40:26:502 Ejecucion número 50001 del proceso ACTSTKDESTINO total 347548
02 10:40:26:502 Ejecucion número 50001 del proceso ACTSTKORIGEN2 total 347548
02 10:58:38:998 Ejecucion número 60001 del proceso ACTSTKORIGEN total 417526
02 10:58:39:107 Ejecucion número 60001 del proceso ACTSTKDESTINO total 417533
02 10:58:39:107 Ejecucion número 60001 del proceso ACTSTKORIGEN2 total 417533
02 11:43:24:107 Ejecucion número 70001 del proceso ACTSTKORIGEN total 487507
02 11:43:24:215 Ejecucion número 70001 del proceso ACTSTKDESTINO total 487514
02 11:43:24:217 Ejecucion número 70001 del proceso ACTSTKORIGEN2 total 487514
02 12:01:33:465 Ejecucion número 80001 del proceso ACTSTKORIGEN total 557488
02 12:01:33:574 Ejecucion número 80001 del proceso ACTSTKDESTINO total 557495
02 12:01:33:575 Ejecucion número 80001 del proceso ACTSTKORIGEN2 total 557495
02 12:19:43:290 Ejecucion número 90001 del proceso ACTSTKORIGEN total 627473
02 12:19:43:400 Ejecucion número 90001 del proceso ACTSTKDESTINO total 627480
02 12:19:43:400 Ejecucion número 90001 del proceso ACTSTKORIGEN2 total 627480
02 12:37:51:677 Ejecucion número 100001 del proceso ACTSTKORIGEN total 697456
02 12:37:51:787 Ejecucion número 100001 del proceso ACTSTKDESTINO total 697463
02 12:37:51:787 Ejecucion número 100001 del proceso ACTSTKORIGEN2 total 697463
02 12:55:58:092 Ejecucion número 110001 del proceso ACTSTKORIGEN total 767448
02 12:55:58:202 Ejecucion número 110001 del proceso ACTSTKDESTINO total 767455
02 12:55:58:205 Ejecucion número 110001 del proceso ACTSTKORIGEN2 total 767455
02 13:14:06:964 Ejecucion número 120001 del proceso ACTSTKORIGEN total 837432
02 13:14:07:074 Ejecucion número 120001 del proceso ACTSTKDESTINO total 837439
02 13:14:07:075 Ejecucion número 120001 del proceso ACTSTKORIGEN2 total 837439
02 13:32:16:090 Ejecucion número 130001 del proceso ACTSTKORIGEN total 907423
02 13:32:16:202 Ejecucion número 130001 del proceso ACTSTKDESTINO total 907430
