00 09:22:31:687 Fichero de log abierto PID 3948

02 09:22:31:687 Intentando abrir fichero v10.ini
02 09:22:31:692 Cargando driver v10oracle funcion damedriveroracle
02 09:22:32:296 Conectado a base de datos
02 09:22:32:297 Proceso ACTSTKORIGEN encontrado en tabla VDPROCESOS
02 09:22:32:297 Proceso ACTSTKORIGEN cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 67BB1560
02 09:22:32:298 Proceso ACTSTKDESTINO encontrado en tabla VDPROCESOS
02 09:22:32:298 Proceso ACTSTKDESTINO cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 67BB1560
02 09:22:32:298 Proceso ACTSTKORIGEN2 encontrado en tabla VDPROCESOS
02 09:22:32:298 Proceso ACTSTKORIGEN2 cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 67BB1560
02 09:22:32:301 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 01-07-2022
02 09:22:32:308 Actualizado SID 507 SERIAL 4461 del proceso con PID 3948
02 09:41:33:726 Ejecucion número 10001 del proceso ACTSTKORIGEN total 67053
02 09:41:33:830 Ejecucion número 10001 del proceso ACTSTKDESTINO total 67059
02 09:41:34:396 Ejecucion número 10001 del proceso ACTSTKORIGEN2 total 67092
02 10:00:30:982 Ejecucion número 20001 del proceso ACTSTKORIGEN total 134283
02 10:00:31:432 Ejecucion número 20001 del proceso ACTSTKDESTINO total 134310
02 10:00:32:017 Ejecucion número 20001 del proceso ACTSTKORIGEN2 total 134343
02 10:19:32:447 Ejecucion número 30001 del proceso ACTSTKORIGEN total 201335
02 10:19:32:897 Ejecucion número 30001 del proceso ACTSTKDESTINO total 201362
02 10:19:33:802 Ejecucion número 30001 del proceso ACTSTKORIGEN2 total 201415
02 10:38:31:458 Ejecucion número 40001 del proceso ACTSTKORIGEN total 268376
02 10:38:32:027 Ejecucion número 40001 del proceso ACTSTKDESTINO total 268409
02 10:38:33:048 Ejecucion número 40001 del proceso ACTSTKORIGEN2 total 268470
02 10:58:41:561 Ejecucion número 50001 del proceso ACTSTKORIGEN total 335717
02 10:58:42:452 Ejecucion número 50001 del proceso ACTSTKDESTINO total 335770
02 10:58:43:487 Ejecucion número 50001 del proceso ACTSTKORIGEN2 total 335831
02 11:35:35:828 Ejecucion número 60001 del proceso ACTSTKORIGEN total 402762
02 11:35:37:031 Ejecucion número 60001 del proceso ACTSTKDESTINO total 402839
02 11:35:38:238 Ejecucion número 60001 del proceso ACTSTKORIGEN2 total 402913
02 11:54:31:844 Ejecucion número 70001 del proceso ACTSTKORIGEN total 469519
02 11:54:33:429 Ejecucion número 70001 del proceso ACTSTKDESTINO total 469611
02 11:54:34:782 Ejecucion número 70001 del proceso ACTSTKORIGEN2 total 469689
02 12:13:16:845 Ejecucion número 80001 del proceso ACTSTKORIGEN total 537175
02 12:13:18:485 Ejecucion número 80001 del proceso ACTSTKDESTINO total 537260
02 12:13:19:927 Ejecucion número 80001 del proceso ACTSTKORIGEN2 total 537333
02 12:32:14:962 Ejecucion número 90001 del proceso ACTSTKORIGEN total 603891
02 12:32:17:150 Ejecucion número 90001 del proceso ACTSTKDESTINO total 604020
02 12:32:18:840 Ejecucion número 90001 del proceso ACTSTKORIGEN2 total 604119
02 12:51:01:440 Ejecucion número 100001 del proceso ACTSTKORIGEN total 671208
02 12:51:03:807 Ejecucion número 100001 del proceso ACTSTKDESTINO total 671350
02 12:51:05:494 Ejecucion número 100001 del proceso ACTSTKORIGEN2 total 671449
02 13:09:23:254 Ejecucion número 110001 del proceso ACTSTKORIGEN total 740393
02 13:09:25:537 Ejecucion número 110001 del proceso ACTSTKDESTINO total 740540
02 13:09:27:167 Ejecucion número 110001 del proceso ACTSTKORIGEN2 total 740645

00 13:10:20:349 Fichero de log cerrado.

