00 09:39:32:678 Fichero de log abierto PID 16160

02 09:39:32:678 Intentando abrir fichero v10.ini
02 09:39:32:721 Cargando driver v10oracle funcion damedriveroracle
02 09:39:33:185 Conectado a base de datos
02 09:39:33:187 Proceso ACTSTKORIGEN encontrado en tabla VDPROCESOS
02 09:39:33:187 Proceso ACTSTKORIGEN cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6F971560
02 09:39:33:187 Proceso ACTSTKDESTINO encontrado en tabla VDPROCESOS
02 09:39:33:187 Proceso ACTSTKDESTINO cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6F971560
02 09:39:33:187 Proceso ACTSTKORIGEN2 encontrado en tabla VDPROCESOS
02 09:39:33:188 Proceso ACTSTKORIGEN2 cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 6F971560
02 09:39:33:191 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 06-07-2022
02 09:39:33:198 Actualizado SID 507 SERIAL 19965 del proceso con PID 16160
02 09:57:43:000 Ejecucion número 10001 del proceso ACTSTKORIGEN total 69942
02 09:57:43:001 Ejecucion número 10001 del proceso ACTSTKDESTINO total 69942
02 09:57:43:002 Ejecucion número 10001 del proceso ACTSTKORIGEN2 total 69942
02 10:15:51:962 Ejecucion número 20001 del proceso ACTSTKORIGEN total 139922
02 10:15:51:963 Ejecucion número 20001 del proceso ACTSTKDESTINO total 139922
02 10:15:51:963 Ejecucion número 20001 del proceso ACTSTKORIGEN2 total 139922
02 10:34:00:587 Ejecucion número 30001 del proceso ACTSTKORIGEN total 209900
02 10:34:00:590 Ejecucion número 30001 del proceso ACTSTKDESTINO total 209900
02 10:34:00:591 Ejecucion número 30001 del proceso ACTSTKORIGEN2 total 209900
02 10:52:08:898 Ejecucion número 40001 del proceso ACTSTKORIGEN total 279833
02 10:52:08:992 Ejecucion número 40001 del proceso ACTSTKDESTINO total 279839
02 10:52:08:992 Ejecucion número 40001 del proceso ACTSTKORIGEN2 total 279839
02 11:30:43:002 Ejecucion número 50001 del proceso ACTSTKORIGEN total 349817
02 11:30:43:005 Ejecucion número 50001 del proceso ACTSTKDESTINO total 349817
02 11:30:43:006 Ejecucion número 50001 del proceso ACTSTKORIGEN2 total 349817
02 11:48:50:845 Ejecucion número 60001 del proceso ACTSTKORIGEN total 419798
02 11:48:50:845 Ejecucion número 60001 del proceso ACTSTKDESTINO total 419798
02 11:48:50:847 Ejecucion número 60001 del proceso ACTSTKORIGEN2 total 419798
02 12:06:58:739 Ejecucion número 70001 del proceso ACTSTKORIGEN total 489786
02 12:06:58:740 Ejecucion número 70001 del proceso ACTSTKDESTINO total 489786
02 12:06:58:742 Ejecucion número 70001 del proceso ACTSTKORIGEN2 total 489786
02 12:25:06:017 Ejecucion número 80001 del proceso ACTSTKORIGEN total 559762
02 12:25:06:017 Ejecucion número 80001 del proceso ACTSTKDESTINO total 559762
02 12:25:06:017 Ejecucion número 80001 del proceso ACTSTKORIGEN2 total 559762
02 12:43:13:222 Ejecucion número 90001 del proceso ACTSTKORIGEN total 629741
02 12:43:13:222 Ejecucion número 90001 del proceso ACTSTKDESTINO total 629741
02 12:43:13:225 Ejecucion número 90001 del proceso ACTSTKORIGEN2 total 629741
02 13:01:20:537 Ejecucion número 100001 del proceso ACTSTKORIGEN total 699680
02 13:01:20:647 Ejecucion número 100001 del proceso ACTSTKDESTINO total 699687
02 13:01:20:647 Ejecucion número 100001 del proceso ACTSTKORIGEN2 total 699687
02 13:19:27:895 Ejecucion número 110001 del proceso ACTSTKORIGEN total 769667
02 13:19:28:005 Ejecucion número 110001 del proceso ACTSTKDESTINO total 769674
02 13:19:28:050 Ejecucion número 110001 del proceso ACTSTKORIGEN2 total 769677
02 13:37:37:117 Ejecucion número 120001 del proceso ACTSTKORIGEN total 839653
02 13:37:37:227 Ejecucion número 120001 del proceso ACTSTKDESTINO total 839660
02 13:37:37:229 Ejecucion número 120001 del proceso ACTSTKORIGEN2 total 839660
02 14:34:58:697 Ejecucion número 130001 del proceso ACTSTKORIGEN total 909635
02 14:34:58:807 Ejecucion número 130001 del proceso ACTSTKDESTINO total 909642
02 14:34:58:915 Ejecucion número 130001 del proceso ACTSTKORIGEN2 total 909649
02 14:53:07:190 Ejecucion número 140001 del proceso ACTSTKORIGEN total 979625
02 14:53:07:300 Ejecucion número 140001 del proceso ACTSTKDESTINO total 979632
02 14:53:07:422 Ejecucion número 140001 del proceso ACTSTKORIGEN2 total 979640
02 15:11:17:189 Ejecucion número 150001 del proceso ACTSTKORIGEN total 1049604
02 15:11:17:300 Ejecucion número 150001 del proceso ACTSTKDESTINO total 1049611
02 15:11:17:517 Ejecucion número 150001 del proceso ACTSTKORIGEN2 total 1049625
02 15:56:51:557 Ejecucion número 160001 del proceso ACTSTKORIGEN total 1119590
02 15:56:51:669 Ejecucion número 160001 del proceso ACTSTKDESTINO total 1119597
02 15:56:51:890 Ejecucion número 160001 del proceso ACTSTKORIGEN2 total 1119611
02 16:14:59:184 Ejecucion número 170001 del proceso ACTSTKORIGEN total 1189561
02 16:14:59:295 Ejecucion número 170001 del proceso ACTSTKDESTINO total 1189568
02 16:14:59:512 Ejecucion número 170001 del proceso ACTSTKORIGEN2 total 1189582
02 16:33:07:250 Ejecucion número 180001 del proceso ACTSTKORIGEN total 1259531
02 16:33:07:362 Ejecucion número 180001 del proceso ACTSTKDESTINO total 1259538
02 16:33:07:580 Ejecucion número 180001 del proceso ACTSTKORIGEN2 total 1259552
02 16:51:12:944 Ejecucion número 190001 del proceso ACTSTKORIGEN total 1329523
02 16:51:13:055 Ejecucion número 190001 del proceso ACTSTKDESTINO total 1329530
02 16:51:13:272 Ejecucion número 190001 del proceso ACTSTKORIGEN2 total 1329544
02 17:09:18:062 Ejecucion número 200001 del proceso ACTSTKORIGEN total 1399516
02 17:09:18:170 Ejecucion número 200001 del proceso ACTSTKDESTINO total 1399523
02 17:09:18:387 Ejecucion número 200001 del proceso ACTSTKORIGEN2 total 1399537

00 17:10:24:224 Fichero de log cerrado.

