00 10:35:41:537 Fichero de log abierto PID 17096

02 10:35:41:538 Intentando abrir fichero v10.ini
02 10:35:41:543 Cargando driver v10oracle funcion damedriveroracle
02 10:35:42:016 Conectado a base de datos
02 10:35:42:017 Proceso ACTSTKORIGEN encontrado en tabla VDPROCESOS
02 10:35:42:017 Proceso ACTSTKORIGEN cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 70031560
02 10:35:42:017 Proceso ACTSTKDESTINO encontrado en tabla VDPROCESOS
02 10:35:42:017 Proceso ACTSTKDESTINO cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 70031560
02 10:35:42:018 Proceso ACTSTKORIGEN2 encontrado en tabla VDPROCESOS
02 10:35:42:018 Proceso ACTSTKORIGEN2 cargado con función vdbuscamovst (Librería VDKERNEL.DLL) direccion 70031560
02 10:35:42:021 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 08-07-2022
02 10:35:42:030 Actualizado SID 127 SERIAL 46383 del proceso con PID 17096
02 10:53:48:170 Ejecucion número 10001 del proceso ACTSTKORIGEN total 70053
02 10:53:48:171 Ejecucion número 10001 del proceso ACTSTKDESTINO total 70053
02 10:53:48:172 Ejecucion número 10001 del proceso ACTSTKORIGEN2 total 70053
02 11:11:54:751 Ejecucion número 20001 del proceso ACTSTKORIGEN total 140081
02 11:11:54:782 Ejecucion número 20001 del proceso ACTSTKDESTINO total 140083
02 11:11:54:783 Ejecucion número 20001 del proceso ACTSTKORIGEN2 total 140083
02 11:30:00:767 Ejecucion número 30001 del proceso ACTSTKORIGEN total 210090
02 11:30:00:828 Ejecucion número 30001 del proceso ACTSTKDESTINO total 210094
02 11:30:00:830 Ejecucion número 30001 del proceso ACTSTKORIGEN2 total 210094
02 11:48:09:067 Ejecucion número 40001 del proceso ACTSTKORIGEN total 280077
02 11:48:09:145 Ejecucion número 40001 del proceso ACTSTKDESTINO total 280082
02 11:48:09:147 Ejecucion número 40001 del proceso ACTSTKORIGEN2 total 280082
02 12:06:18:169 Ejecucion número 50001 del proceso ACTSTKORIGEN total 350069
02 12:06:18:247 Ejecucion número 50001 del proceso ACTSTKDESTINO total 350074
02 12:06:18:250 Ejecucion número 50001 del proceso ACTSTKORIGEN2 total 350074
02 12:24:27:254 Ejecucion número 60001 del proceso ACTSTKORIGEN total 420062
02 12:24:27:330 Ejecucion número 60001 del proceso ACTSTKDESTINO total 420067
02 12:24:27:330 Ejecucion número 60001 del proceso ACTSTKORIGEN2 total 420067
02 12:42:35:992 Ejecucion número 70001 del proceso ACTSTKORIGEN total 490053
02 12:42:36:069 Ejecucion número 70001 del proceso ACTSTKDESTINO total 490058
02 12:42:36:070 Ejecucion número 70001 del proceso ACTSTKORIGEN2 total 490058
02 13:00:44:854 Ejecucion número 80001 del proceso ACTSTKORIGEN total 560045
02 13:00:44:947 Ejecucion número 80001 del proceso ACTSTKDESTINO total 560051
02 13:00:44:950 Ejecucion número 80001 del proceso ACTSTKORIGEN2 total 560051
02 13:18:53:819 Ejecucion número 90001 del proceso ACTSTKORIGEN total 630034
02 13:18:53:865 Ejecucion número 90001 del proceso ACTSTKDESTINO total 630037
02 13:18:53:867 Ejecucion número 90001 del proceso ACTSTKORIGEN2 total 630037
02 13:49:03:992 Ejecucion número 100001 del proceso ACTSTKORIGEN total 699995
02 13:49:04:102 Ejecucion número 100001 del proceso ACTSTKDESTINO total 700002
02 13:49:04:104 Ejecucion número 100001 del proceso ACTSTKORIGEN2 total 700002

00 13:51:15:657 Fichero de log cerrado.

