00 11:32:29:887 Fichero de log abierto PID 18352

02 11:32:29:887 Intentando abrir fichero v10.ini
02 11:32:29:887 Cargando driver v10oracle funcion damedriveroracle
02 11:32:29:933 Conectado a base de datos
02 11:32:29:933 Proceso PLANIFRADIO encontrado en tabla VDPROCESOS
02 11:32:29:933 Proceso PLANIFRADIO cargado con función planifmov (Librería VDKERNEL.DLL) direccion 5FB55F50
02 11:32:29:934 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 07-05-2020
02 11:51:27:247 Ejecucion número 10001 del proceso PLANIFRADIO total 78024
02 12:09:27:042 Ejecucion número 20001 del proceso PLANIFRADIO total 195811
02 12:26:53:152 Ejecucion número 30001 del proceso PLANIFRADIO total 374720
02 12:44:16:922 Ejecucion número 40001 del proceso PLANIFRADIO total 553643
02 13:01:40:597 Ejecucion número 50001 del proceso PLANIFRADIO total 732491
02 13:19:04:764 Ejecucion número 60001 del proceso PLANIFRADIO total 911440
02 13:36:24:342 Ejecucion número 70001 del proceso PLANIFRADIO total 1086844
02 13:53:43:852 Ejecucion número 80001 del proceso PLANIFRADIO total 1262094
02 14:11:03:382 Ejecucion número 90001 del proceso PLANIFRADIO total 1437113
02 14:28:42:455 Ejecucion número 100001 del proceso PLANIFRADIO total 1594454

00 14:33:59:955 Fichero de log cerrado.

