00 09:51:04:060 Fichero de log abierto PID 4024

00 09:51:04:062 Haciendo bind en puerto -4844 error -1
02 09:51:04:062 Intentando abrir fichero v10.ini
02 09:51:04:067 Cargando driver v10oracle funcion damedriveroracle
02 09:51:04:700 Conectado a base de datos
02 09:51:04:702 Proceso PLANIFRADIO encontrado en tabla VDPROCESOS
02 09:51:04:702 Proceso PLANIFRADIO cargado con función planifmov (Librería VDKERNEL.DLL) direccion 6FFA5F50
02 09:51:04:705 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 17-03-2022
02 09:51:04:713 Actualizado SID 384 SERIAL 46161 del proceso con PID 4024
02 10:09:12:847 Ejecucion número 10001 del proceso PLANIFRADIO total 69991
02 10:27:21:737 Ejecucion número 20001 del proceso PLANIFRADIO total 139983
02 10:45:27:722 Ejecucion número 30001 del proceso PLANIFRADIO total 209975
02 11:07:14:402 Ejecucion número 40001 del proceso PLANIFRADIO total 279951
02 11:25:20:891 Ejecucion número 50001 del proceso PLANIFRADIO total 349944
02 11:43:25:040 Ejecucion número 60001 del proceso PLANIFRADIO total 419937
02 12:01:29:372 Ejecucion número 70001 del proceso PLANIFRADIO total 489930
02 12:19:33:500 Ejecucion número 80001 del proceso PLANIFRADIO total 559923
02 12:37:38:480 Ejecucion número 90001 del proceso PLANIFRADIO total 629913
02 12:55:43:409 Ejecucion número 100001 del proceso PLANIFRADIO total 699906
02 13:13:48:170 Ejecucion número 110001 del proceso PLANIFRADIO total 769898
02 13:31:52:625 Ejecucion número 120001 del proceso PLANIFRADIO total 839891
02 13:49:56:950 Ejecucion número 130001 del proceso PLANIFRADIO total 909884
02 14:08:01:815 Ejecucion número 140001 del proceso PLANIFRADIO total 979876
02 14:26:06:949 Ejecucion número 150001 del proceso PLANIFRADIO total 1049868
02 15:25:06:614 Ejecucion número 160001 del proceso PLANIFRADIO total 1119844
02 15:43:15:054 Ejecucion número 170001 del proceso PLANIFRADIO total 1189837
02 16:01:24:784 Ejecucion número 180001 del proceso PLANIFRADIO total 1259830
02 16:19:34:437 Ejecucion número 190001 del proceso PLANIFRADIO total 1329823
02 16:37:43:954 Ejecucion número 200001 del proceso PLANIFRADIO total 1399815
02 16:55:53:582 Ejecucion número 210001 del proceso PLANIFRADIO total 1469808
02 17:14:03:700 Ejecucion número 220001 del proceso PLANIFRADIO total 1539801
02 17:32:13:470 Ejecucion número 230001 del proceso PLANIFRADIO total 1609793
02 17:50:22:845 Ejecucion número 240001 del proceso PLANIFRADIO total 1679786

00 17:57:24:102 Fichero de log cerrado.

