00 09:05:47:602 Fichero de log abierto PID 10744

00 09:05:47:605 Haciendo bind en puerto -4844 error -1
02 09:05:47:605 Intentando abrir fichero v10.ini
02 09:05:47:611 Cargando driver v10oracle funcion damedriveroracle
02 09:05:47:917 Conectado a base de datos
02 09:05:47:918 Proceso PLANIFRADIO encontrado en tabla VDPROCESOS
02 09:05:47:918 Proceso PLANIFRADIO cargado con función planifmov (Librería VDKERNEL.DLL) direccion 705E5F50
02 09:05:47:921 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 23-03-2022
02 09:05:47:931 Actualizado SID 752 SERIAL 21023 del proceso con PID 10744
02 09:23:53:928 Ejecucion número 10001 del proceso PLANIFRADIO total 68058
02 09:41:57:527 Ejecucion número 20001 del proceso PLANIFRADIO total 138048
02 10:00:01:017 Ejecucion número 30001 del proceso PLANIFRADIO total 208039
02 10:18:09:993 Ejecucion número 40001 del proceso PLANIFRADIO total 278018
02 10:36:21:786 Ejecucion número 50001 del proceso PLANIFRADIO total 348010
02 10:54:25:802 Ejecucion número 60001 del proceso PLANIFRADIO total 417987
02 11:12:28:505 Ejecucion número 70001 del proceso PLANIFRADIO total 487980
02 11:30:35:027 Ejecucion número 80001 del proceso PLANIFRADIO total 557969
02 12:07:30:715 Ejecucion número 90001 del proceso PLANIFRADIO total 627946
02 12:25:39:785 Ejecucion número 100001 del proceso PLANIFRADIO total 697927
02 12:43:49:627 Ejecucion número 110001 del proceso PLANIFRADIO total 767917
02 13:01:58:865 Ejecucion número 120001 del proceso PLANIFRADIO total 837899
02 13:20:08:182 Ejecucion número 130001 del proceso PLANIFRADIO total 907882
02 13:38:20:062 Ejecucion número 140001 del proceso PLANIFRADIO total 977874
02 13:56:29:245 Ejecucion número 150001 del proceso PLANIFRADIO total 1047867
02 14:14:37:882 Ejecucion número 160001 del proceso PLANIFRADIO total 1117860
02 14:32:46:340 Ejecucion número 170001 del proceso PLANIFRADIO total 1187852
02 14:50:54:625 Ejecucion número 180001 del proceso PLANIFRADIO total 1257831
02 15:58:08:259 Ejecucion número 190001 del proceso PLANIFRADIO total 1327811
02 16:16:17:365 Ejecucion número 200001 del proceso PLANIFRADIO total 1397770
02 16:34:26:175 Ejecucion número 210001 del proceso PLANIFRADIO total 1467759
02 16:52:34:605 Ejecucion número 220001 del proceso PLANIFRADIO total 1537752
02 17:10:43:432 Ejecucion número 230001 del proceso PLANIFRADIO total 1607743
02 17:28:51:902 Ejecucion número 240001 del proceso PLANIFRADIO total 1677735
02 17:47:00:494 Ejecucion número 250001 del proceso PLANIFRADIO total 1747714

00 17:56:08:927 Fichero de log cerrado.

