00 09:13:58:262 Fichero de log abierto PID 10548

00 09:13:58:263 Haciendo bind en puerto -4844 error -1
02 09:13:58:263 Intentando abrir fichero v10.ini
02 09:13:58:268 Cargando driver v10oracle funcion damedriveroracle
02 09:13:58:523 Conectado a base de datos
02 09:13:58:526 Proceso PLANIFRADIO encontrado en tabla VDPROCESOS
02 09:13:58:527 Proceso PLANIFRADIO cargado con función planifmov (Librería VDKERNEL.DLL) direccion 6D425F50
02 09:13:58:529 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 11-04-2022
02 09:13:58:555 Actualizado SID 750 SERIAL 51896 del proceso con PID 10548
02 09:32:06:315 Ejecucion número 10001 del proceso PLANIFRADIO total 69967
02 09:50:16:626 Ejecucion número 20001 del proceso PLANIFRADIO total 139951
02 10:08:23:172 Ejecucion número 30001 del proceso PLANIFRADIO total 209929
02 10:26:24:275 Ejecucion número 40001 del proceso PLANIFRADIO total 279904
02 10:44:33:345 Ejecucion número 50001 del proceso PLANIFRADIO total 349895
02 11:02:42:892 Ejecucion número 60001 del proceso PLANIFRADIO total 419848
02 11:20:52:001 Ejecucion número 70001 del proceso PLANIFRADIO total 489836
02 11:39:01:492 Ejecucion número 80001 del proceso PLANIFRADIO total 559817
02 11:57:09:792 Ejecucion número 90001 del proceso PLANIFRADIO total 629804
02 12:15:18:529 Ejecucion número 100001 del proceso PLANIFRADIO total 699790
02 12:33:26:574 Ejecucion número 110001 del proceso PLANIFRADIO total 769768
02 12:51:32:732 Ejecucion número 120001 del proceso PLANIFRADIO total 839740
02 13:09:40:995 Ejecucion número 130001 del proceso PLANIFRADIO total 909728
02 13:27:49:372 Ejecucion número 140001 del proceso PLANIFRADIO total 979719
02 13:45:58:552 Ejecucion número 150001 del proceso PLANIFRADIO total 1049695
02 14:04:07:922 Ejecucion número 160001 del proceso PLANIFRADIO total 1119680
02 14:22:16:134 Ejecucion número 170001 del proceso PLANIFRADIO total 1189666
02 14:40:22:877 Ejecucion número 180001 del proceso PLANIFRADIO total 1259649
02 14:58:31:670 Ejecucion número 190001 del proceso PLANIFRADIO total 1329637
02 15:16:42:570 Ejecucion número 200001 del proceso PLANIFRADIO total 1399616
02 15:34:53:684 Ejecucion número 210001 del proceso PLANIFRADIO total 1469606
02 16:11:41:414 Ejecucion número 220001 del proceso PLANIFRADIO total 1539559
02 16:29:49:670 Ejecucion número 230001 del proceso PLANIFRADIO total 1609547
02 16:47:56:790 Ejecucion número 240001 del proceso PLANIFRADIO total 1679535
02 17:06:02:799 Ejecucion número 250001 del proceso PLANIFRADIO total 1749510
02 17:24:11:659 Ejecucion número 260001 del proceso PLANIFRADIO total 1819503
02 17:42:20:392 Ejecucion número 270001 del proceso PLANIFRADIO total 1889490

00 17:57:51:222 Fichero de log cerrado.

