00 09:13:10:307 Fichero de log abierto PID 13752

00 09:13:10:307 Haciendo bind en puerto -4844 error -1
02 09:13:10:308 Intentando abrir fichero v10.ini
02 09:13:10:317 Cargando driver v10oracle funcion damedriveroracle
02 09:13:10:832 Conectado a base de datos
02 09:13:10:835 Proceso PLANIFRADIO encontrado en tabla VDPROCESOS
02 09:13:10:835 Proceso PLANIFRADIO cargado con función planifmov (Librería VDKERNEL.DLL) direccion 6F875F50
02 09:13:10:838 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 13-04-2022
02 09:13:10:847 Actualizado SID 379 SERIAL 29873 del proceso con PID 13752
02 09:31:17:032 Ejecucion número 10001 del proceso PLANIFRADIO total 69915
02 09:49:22:482 Ejecucion número 20001 del proceso PLANIFRADIO total 139908
02 10:07:27:013 Ejecucion número 30001 del proceso PLANIFRADIO total 209889
02 10:25:32:635 Ejecucion número 40001 del proceso PLANIFRADIO total 279880
02 10:43:38:752 Ejecucion número 50001 del proceso PLANIFRADIO total 349874
02 11:01:45:093 Ejecucion número 60001 del proceso PLANIFRADIO total 419863
02 11:42:56:117 Ejecucion número 70001 del proceso PLANIFRADIO total 489839
02 12:01:04:422 Ejecucion número 80001 del proceso PLANIFRADIO total 559825
02 12:19:12:827 Ejecucion número 90001 del proceso PLANIFRADIO total 629818
02 12:37:21:075 Ejecucion número 100001 del proceso PLANIFRADIO total 699808
02 12:55:31:755 Ejecucion número 110001 del proceso PLANIFRADIO total 769799
02 13:13:41:705 Ejecucion número 120001 del proceso PLANIFRADIO total 839789
02 13:31:51:577 Ejecucion número 130001 del proceso PLANIFRADIO total 909779
02 13:50:01:322 Ejecucion número 140001 del proceso PLANIFRADIO total 979769
02 14:08:10:912 Ejecucion número 150001 del proceso PLANIFRADIO total 1049757
02 14:26:20:737 Ejecucion número 160001 del proceso PLANIFRADIO total 1119749
02 14:44:26:409 Ejecucion número 170001 del proceso PLANIFRADIO total 1189733
02 15:02:33:360 Ejecucion número 180001 del proceso PLANIFRADIO total 1259720
02 16:16:03:255 Ejecucion número 190001 del proceso PLANIFRADIO total 1329685
02 16:34:11:944 Ejecucion número 200001 del proceso PLANIFRADIO total 1399672
02 16:52:21:857 Ejecucion número 210001 del proceso PLANIFRADIO total 1469661
02 17:10:32:329 Ejecucion número 220001 del proceso PLANIFRADIO total 1539649
02 17:28:42:524 Ejecucion número 230001 del proceso PLANIFRADIO total 1609642
02 17:46:51:802 Ejecucion número 240001 del proceso PLANIFRADIO total 1679623

00 17:54:53:105 Fichero de log cerrado.

