00 09:39:32:842 Fichero de log abierto PID 15460

02 09:39:32:845 Intentando abrir fichero v10.ini
02 09:39:32:848 Cargando driver v10oracle funcion damedriveroracle
02 09:39:33:592 Conectado a base de datos
02 09:39:33:595 Proceso PLANIFRADIO encontrado en tabla VDPROCESOS
02 09:39:33:596 Proceso PLANIFRADIO cargado con función planifmov (Librería VDKERNEL.DLL) direccion 6F965F50
02 09:39:33:597 PLSQL: INICIALIZADO PAQUETE DE LOG EL DIA 06-07-2022
02 09:39:33:606 Actualizado SID 508 SERIAL 32587 del proceso con PID 15460
02 09:57:43:323 Ejecucion número 10001 del proceso PLANIFRADIO total 69941
02 10:15:52:290 Ejecucion número 20001 del proceso PLANIFRADIO total 139922
02 10:34:00:836 Ejecucion número 30001 del proceso PLANIFRADIO total 209899
02 10:52:09:118 Ejecucion número 40001 del proceso PLANIFRADIO total 279831
02 11:30:43:078 Ejecucion número 50001 del proceso PLANIFRADIO total 349808
02 11:48:50:955 Ejecucion número 60001 del proceso PLANIFRADIO total 419792
02 12:06:58:850 Ejecucion número 70001 del proceso PLANIFRADIO total 489780
02 12:25:06:079 Ejecucion número 80001 del proceso PLANIFRADIO total 559756
02 12:43:13:205 Ejecucion número 90001 del proceso PLANIFRADIO total 629737
02 13:01:20:537 Ejecucion número 100001 del proceso PLANIFRADIO total 699683
02 13:19:27:895 Ejecucion número 110001 del proceso PLANIFRADIO total 769672
02 13:37:36:792 Ejecucion número 120001 del proceso PLANIFRADIO total 839659
02 14:34:58:375 Ejecucion número 130001 del proceso PLANIFRADIO total 909640
02 14:53:06:865 Ejecucion número 140001 del proceso PLANIFRADIO total 979630
02 15:11:16:859 Ejecucion número 150001 del proceso PLANIFRADIO total 1049610
02 15:56:51:215 Ejecucion número 160001 del proceso PLANIFRADIO total 1119596
02 16:14:58:720 Ejecucion número 170001 del proceso PLANIFRADIO total 1189566
02 16:33:06:800 Ejecucion número 180001 del proceso PLANIFRADIO total 1259539
02 16:51:12:495 Ejecucion número 190001 del proceso PLANIFRADIO total 1329531
02 17:09:17:627 Ejecucion número 200001 del proceso PLANIFRADIO total 1399523

00 17:10:24:224 Fichero de log cerrado.

